,place,lon,lat,cooling,fuel,state,f,c,idc
276,1739,-81.175,32.375,1,2,GA,Coal,ST-OT,5
277,1740,-96.075,30.625,2,2,TX,Coal,ST-RC,5
278,1741,-87.725,37.875,2,2,IN,Coal,ST-RC,1
279,1742,-94.525,36.275,2,2,AR,Coal,ST-RC,1
280,1743,-94.825,33.075,2,2,TX,Coal,ST-RC,5
281,1744,-94.525,32.275,2,2,TX,Coal,ST-RC,5
282,1746,-90.275,38.125,1,2,MO,Coal,ST-OT,3
283,1748,-111.025,39.175,2,2,UT,Coal,ST-RC,4
284,1749,-87.025,37.875,2,2,IN,Coal,ST-RC,1
285,1750,-87.875,42.525,2,2,WI,Coal,ST-RC,0
286,1751,-109.275,34.575,2,2,AZ,Coal,ST-RC,4
287,1752,-97.225,28.725,2,2,TX,Coal,ST-RC,2
288,1753,-96.775,29.925,2,2,TX,Coal,ST-RC,2
289,1754,-98.475,28.725,2,2,TX,Coal,ST-RC,2
290,1755,-92.725,31.375,2,2,LA,Coal,ST-RC,5
291,1755,-92.725,31.375,2,5,LA,Oil,ST-RC,5
292,1756,-101.775,35.325,2,2,TX,Coal,ST-RC,3
293,1757,-102.575,34.175,2,2,TX,Coal,ST-RC,3
294,1758,-93.375,37.125,2,2,MO,Coal,ST-RC,1
295,1759,-104.875,42.125,2,2,WY,Coal,ST-RC,0
296,1761,-87.525,39.075,2,2,IN,Coal,ST-RC,1
297,1762,-96.475,30.725,2,5,TX,Oil,ST-RC,5
298,1763,-81.625,29.625,5,3,FL,Gas,CC-RC,2
299,1764,-103.675,40.275,2,2,CO,Coal,ST-RC,0
300,1765,-79.375,33.225,2,2,SC,Coal,ST-RC,5
301,1766,-78.875,36.525,2,2,NC,Coal,ST-RC,1
302,1767,-92.575,41.125,2,2,IA,Coal,ST-RC,0
303,1768,-83.825,33.075,2,2,GA,Coal,ST-RC,5
304,1770,-81.975,38.975,2,2,WV,Coal,ST-RC,3
305,1771,-101.825,47.525,2,2,ND,Coal,ST-RC,4
306,1772,-112.575,39.525,2,2,UT,Coal,ST-RC,4
307,1773,-92.475,31.325,2,5,LA,Oil,ST-RC,5
308,1775,-87.425,37.575,2,2,KY,Coal,ST-RC,1
309,1776,-91.425,35.675,2,2,AR,Coal,ST-RC,5
310,1777,-97.025,30.575,2,2,TX,Coal,ST-RC,5
311,1778,-91.075,41.325,2,2,IA,Coal,ST-RC,0
312,1779,-87.375,37.925,1,2,IN,Coal,ST-OT,3
313,1780,-105.025,40.875,2,2,CO,Coal,ST-RC,4
314,1781,-89.625,36.875,2,2,MO,Coal,ST-RC,1
315,1782,-95.325,33.975,2,2,OK,Coal,ST-RC,5
316,1783,-87.125,37.425,2,2,KY,Coal,ST-RC,1
317,1784,-96.725,31.075,2,2,TX,Coal,ST-RC,5
318,1785,-98.325,29.275,2,2,TX,Coal,ST-RC,2
319,1786,-75.525,39.675,5,3,DE,Gas,CC-RC,3
320,1787,-80.925,33.325,2,2,SC,Coal,ST-RC,5
321,1788,-78.675,36.875,2,2,VA,Coal,ST-RC,1
322,1789,-81.975,27.725,5,2,FL,Coal,CC-RC,2
323,1792,-94.625,37.075,5,3,MO,Gas,CC-RC,3
324,1793,-81.875,27.775,5,3,FL,Gas,CC-RC,2
325,1794,-73.075,40.825,5,3,NY,Gas,CC-RC,3
326,1796,-119.675,45.875,5,3,OR,Gas,CC-RC,0
327,1798,-105.375,44.275,3,2,WY,Coal,ST-DC,1
328,1799,-98.375,29.275,5,3,TX,Gas,CC-RC,2
329,1803,-121.425,38.525,5,3,CA,Gas,CC-RC,3
330,1804,-121.475,38.525,5,3,CA,Gas,CC-RC,3
331,1808,-109.675,40.125,2,2,UT,Coal,ST-RC,4
332,1809,-94.475,32.475,2,2,TX,Coal,ST-RC,5
333,1813,-70.775,43.075,2,5,NH,Oil,ST-RC,0
334,1814,-73.975,41.575,1,5,NY,Oil,ST-OT,0
335,1817,-89.475,43.475,2,2,WI,Coal,ST-RC,0
336,1821,-91.125,33.375,2,5,MS,Oil,ST-RC,5
337,1822,-90.575,30.025,1,5,LA,Oil,ST-OT,1
338,1823,-98.325,34.525,5,3,OK,Gas,CC-RC,1
339,1825,-109.475,41.575,2,2,WY,Coal,ST-RC,1
340,1826,-111.775,33.325,5,3,AZ,Gas,CC-RC,1
341,1827,-111.075,39.375,2,2,UT,Coal,ST-RC,4
342,1828,-123.175,46.175,5,3,OR,Gas,CC-RC,4
343,1830,-82.075,38.975,2,2,OH,Coal,ST-RC,1
344,1831,-104.725,38.675,2,2,CO,Coal,ST-RC,0
345,1832,-101.775,47.525,2,2,ND,Coal,ST-RC,4
346,1833,-109.175,34.325,2,2,AZ,Coal,ST-RC,5
347,1834,-117.125,40.875,2,2,NV,Coal,ST-RC,5
348,1835,-79.825,40.525,1,2,PA,Coal,ST-OT,3
349,1838,-77.425,37.525,5,3,VA,Gas,CC-RC,1
350,1870,-70.525,44.525,6,3,ME,Gas,CC-DC,3
351,1871,-104.975,39.675,5,3,CO,Gas,CC-RC,4
352,1874,-121.525,36.975,5,3,CA,Gas,CC-RC,0
353,1875,-75.475,39.775,2,2,NJ,Coal,ST-RC,3
354,1877,-75.525,39.725,5,3,NJ,Gas,CC-RC,3
355,1878,-78.825,40.575,2,2,PA,Coal,ST-RC,0
356,1880,-118.425,33.925,5,3,CA,Gas,CC-RC,1
